"","word","freq"
"304","fact",21
"305","für",21
"306","high",21
"307","hitler",21
"308","looking",21
"309","major",21
"310","means",21
"311","middle",21
"312","million",21
"313","missiles",21
"314","n",21
"315","pandemic",21
"316","prevent",21
"317","safe",21
"318","sides",21
"319","soon",21
"320","true",21
"321","wouldnt",21
"322","wrong",21
"323","arent",20
"324","auch",20
"325","business",20
"326","comes",20
"327","feel",20
"328","free",20
"329","freedom",20
"330","gets",20
"331","gonna",20
"332","hat",20
"333","having",20
"334","la",20
"335","plan",20
"336","problems",20
"337","proxy",20
"338","r",20
"339","s",20
"340","second",20
"341","syria",20
"342","threatening",20
"343","ukrainerussiawar",20
"344","economic",19
"345","fears",19
"346","game",19
"347","huge",19
"348","idea",19
"349","imminent",19
"350","india",19
"351","killed",19
"352","looks",19
"353","neither",19
"354","party",19
"355","possibility",19
"356","preparing",19
"357","prices",19
"358","probably",19
"359","question",19
"360","sent",19
"361","sovereign",19
"362","supporting",19
"363","times",19
"364","white",19
"365","wish",19
"366","control",18
"367","cost",18
"368","doubt",18
"369","evil",18
"370","force",18
"371","fuck",18
"372","future",18
"373","ground",18
"374","happened",18
"375","including",18
"376","inflation",18
"377","instead",18
"378","left",18
"379","living",18
"380","nobody",18
"381","open",18
"382","playing",18
"383","sie",18
"384","strong",18
"385","territory",18
"386","themselves",18
"387","thinks",18
"388","women",18
"389","worth",18
"390","action",17
"391","aid",17
"392","als",17
"393","continue",17
"394","course",17
"395","currently",17
"396","destroy",17
"397","earth",17
"398","either",17
"399","er",17
"400","face",17
"401","family",17
"402","given",17
"403","least",17
"404","market",17
"405","moment",17
"406","pay",17
"407","personal",17
"408","plans",17
"409","policy",17
"410","prayers",17
"411","pretty",17
"412","price",17
"413","report",17
"414","russiaukrainewar",17
"415","someone",17
"416","sons",17
"417","th",17
"418","threaten",17
"419","tonight",17
"420","u",17
"421","warns",17
"422","within",17
"423","alliance",16
"424","alone",16
"425","anti",16
"426","behind",16
"427","bloody",16
"428","canada",16
"429","case",16
"430","children",16
"431","consequences",16
"432","declare",16
"433","dem",16
"434","diplomatic",16
"435","donbas",16
"436","german",16
"437","hours",16
"438","interest",16
"439","joining",16
"440","k",16
"441","lead",16
"442","leadership",16
"443","mind",16
"444","near",16
"445","position",16
"446","push",16
"447","reality",16
"448","response",16
"449","russland",16
"450","seeing",16
"451","short",16
"452","sich",16
"453","step",16
"454","thoughts",16
"455","told",16
"456","ukraineconflict",16
"457","until",16
"458","ussr",16
"459","video",16
"460","wait",16
"461","wasnt",16
"462","weve",16
"463","whether",16
"464","wie",16
"465","bear",15
"466","become",15
"467","clear",15
"468","dear",15
"469","escalation",15
"470","etc",15
"471","except",15
"472","hear",15
"473","kids",15
"474","member",15
"475","minister",15
"476","mr",15
"477","nor",15
"478","once",15
"479","ongoing",15
"480","past",15
"481","rest",15
"482","russiaukrainecrisis",15
"483","serious",15
"484","sounds",15
"485","supply",15
"486","tanks",15
"487","tv",15
"488","ukrainerussiacrisis",15
"489","watching",15
"490","worldwar",15
"491","young",15
"492","across",14
"493","along",14
"494","blame",14
"495","break",14
"496","congress",14
"497","create",14
"498","cyber",14
"499","en",14
"500","fall",14
"501","false",14
"502","fucking",14
"503","hold",14
"504","humanity",14
"505","ive",14
"506","joins",14
"507","latest",14
"508","leader",14
"509","millions",14
"510","poor",14
"511","run",14
"512","scale",14
"513","shit",14
"514","solution",14
"515","taken",14
"516","telling",14
"517","thinking",14
"518","together",14
"519","ukrainethis",14
"520","weak",14
"521","absolutely",13
"522","administration",13
"523","allow",13
"524","allowed",13
"525","armed",13
"526","aus",13
"527","bombs",13
"528","breaks",13
"529","calling",13
"530","crazy",13
"531","death",13
"532","decades",13
"533","decide",13
"534","exactly",13
"535","explain",13
"536","former",13
"537","france",13
"538","friends",13
"539","further",13
"540","head",13
"541","heard",13
"542","helping",13
"543","iran",13
"544","killing",13
"545","kremlin",13
"546","later",13
"547","lied",13
"548","members",13
"549","mongering",13
"550","national",13
"551","ones",13
"552","opinion",13
"553","order",13
"554","person",13
"555","planning",13
"556","protest",13
"557","rd",13
"558","sense",13
"559","speaking",13
"560","suffer",13
"561","thanks",13
"562","ukraineunderattack",13
"563","v",13
"564","wanted",13
"565","warning",13
"566","worse",13
"567","zur",13
"568","afford",12
"569","aggressor",12
"570","amid",12
"571","attention",12
"572","cares",12
"573","city",12
"574","clearly",12
"575","close",12
"576","corrupt",12
"577","dangerous",12
"578","daughters",12
"579","democratic",12
"580","democrats",12
"581","destroyed",12
"582","ended",12
"583","energy",12
"584","especially",12
"585","fuel",12
"586","gave",12
"587","georgia",12
"588","guy",12
"589","ich",12
"590","ii",12
"591","imagine",12
"592","immediately",12
"593","issue",12
"594","kill",12
"595","korea",12
"596","less",12
"597","level",12
"598","lol",12
"599","months",12
"600","moving",12
"601","night",12
"602","occupation",12
"603","oh",12
"604","ok",12
"605","olympics",12
"606","panic",12
"607","peoples",12
"608","powers",12
"609","realize",12
"610","red",12
"611","region",12
"612","result",12
"613","scenario",12
"614","shame",12
"615","shouldnt",12
"616","sovereignty",12
"617","stupid",12
"618","takes",12
"619","tension",12
"620","theyve",12
"621","thousands",12
"622","top",12
"623","towards",12
"624","truth",12
"625","victory",12
"626","warfare",12
"627","weeks",12
"628","working",12
"629","actions",11
"630","areas",11
"631","article",11
"632","asking",11
"633","beyond",11
"634","britain",11
"635","bully",11
"636","claim",11
"637","closer",11
"638","complex",11
"639","crime",11
"640","da",11
"641","decided",11
"642","decision",11
"643","distraction",11
"644","donetsk",11
"645","drums",11
"646","easy",11
"647","event",11
"648","fake",11
"649","friend",11
"650","games",11
"651","havent",11
"652","heart",11
"653","hoping",11
"654","id",11
"655","iii",11
"656","ill",11
"657","johnsonout",11
"658","kingdom",11
"659","krim",11
"660","lies",11
"661","local",11
"662","march",11
"663","membership",11
"664","message",11
"665","nazis",11
"666","nd",11
"667","needed",11
"668","none",11
"669","officially",11
"670","path",11
"671","pipeline",11
"672","prepare",11
"673","raise",11
"674","rally",11
"675","refugees",11
"676","regime",11
"677","regions",11
"678","reporting",11
"679","respect",11
"680","responsible",11
"681","russiainvadedukraine",11
"682","self",11
"683","solve",11
"684","sorry",11
"685","southern",11
"686","statement",11
"687","story",11
"688","tank",11
"689","threats",11
"690","trigger",11
"691","truss",11
"692","tucker",11
"693","winter",11
"694","aber",10
"695","affect",10
"696","afraid",10
"697","aggressive",10
"698","annexation",10
"699","antiwar",10
"700","anybody",10
"701","asked",10
"702","attacking",10
"703","based",10
"704","begun",10
"705","bombing",10
"706","british",10
"707","build",10
"708","buying",10
"709","charge",10
"710","chinese",10
"711","cia",10
"712","cnn",10
"713","community",10
"714","concerned",10
"715","continues",10
"716","costs",10
"717","countrys",10
"718","current",10
"719","damage",10
"720","dass",10
"721","declaration",10
"722","declared",10
"723","demands",10
"724","dems",10
"725","dictator",10
"726","difficult",10
"727","dying",10
"728","enemy",10
"729","exle",10
"730","flag",10
"731","focus",10
"732","forget",10
"733","fully",10
"734","hit",10
"735","however",10
"736","hunter",10
"737","issues",10
"738","kgb",10
"739","losing",10
"740","massive",10
"741","meeting",10
"742","miltary",10
"743","minsk",10
"744","morning",10
"745","moves",10
"746","nach",10
"747","nazi",10
"748","necessary",10
"749","nice",10
"750","north",10
"751","nukes",10
"752","nur",10
"753","option",10
"754","pact",10
"755","potentially",10
"756","protests",10
"757","public",10
"758","putting",10
"759","quite",10
"760","recent",10
"761","scholz",10
"762","sees",10
"763","sell",10
"764","spent",10
"765","st",10
"766","stopputin",10
"767","students",10
"768","super",10
"769","thread",10
"770","thru",10
"771","tomorrow",10
"772","treaty",10
"773","tried",10
"774","truly",10
"775","trumps",10
"776","über",10
"777","ukranian",10
"778","waging",10
"779","warukraine",10
"780","welcome",10
"781","worlds",10
"782","worry",10
"783","wwiii",10
"784","according",9
"785","active",9
"786","allout",9
"787","angry",9
"788","appears",9
"789","art",9
"790","avert",9
"791","bc",9
"792","blinken",9
"793","boost",9
"794","building",9
"795","buildup",9
"796","century",9
"797","choice",9
"798","civilian",9
"799","commit",9
"800","concern",9
"801","concerns",9
"802","direct",9
"803","disaster",9
"804","drop",9
"805","embassy",9
"806","entire",9
"807","escalating",9
"808","eyes",9
"809","families",9
"810","finland",9
"811","fly",9
"812","french",9
"813","genocide",9
"814","gone",9
"815","hate",9
"816","heres",9
"817","illegal",9
"818","images",9
"819","independent",9
"820","infrastructure",9
"821","intelligence",9
"822","itself",9
"823","ja",9
"824","jaw",9
"825","jetzt",9
"826","krieg",9
"827","lack",9
"828","law",9
"829","legitimate",9
"830","literally",9
"831","luhansk",9
"832","main",9
"833","mass",9
"834","missile",9
"835","moldova",9
"836","occupied",9
"837","ordinary",9
"838","perhaps",9
"839","period",9
"840","plus",9
"841","ppl",9
"842","praying",9
"843","pres",9
"844","press",9
"845","pressure",9
"846","pro",9
"847","reasons",9
"848","reports",9
"849","republicans",9
"850","rhetoric",9
"851","senseless",9
"852","seriously",9
"853","several",9
"854","shows",9
"855","sit",9
"856","son",9
"857","south",9
"858","standing",9
"859","stopped",9
"860","stopping",9
"861","stopwar",9
"862","term",9
"863","third",9
"864","threatens",9
"865","took",9
"866","ukrainewillresist",9
"867","victims",9
"868","view",9
"869","waiting",9
"870","washington",9
"871","wir",9
"872","wird",9
"873","words",9
"874","wwii",9
"875","yourself",9
"876","agenda",8
"877","agreement",8
"878","allowing",8
"879","approach",8
"880","beat",8
"881","beating",8
"882","began",8
"883","beginning",8
"884","begins",8
"885","benefit",8
"886","bit",8
"887","bitcoin",8
"888","boys",8
"889","brave",8
"890","brothers",8
"891","bs",8
"892","btw",8
"893","buy",8
"894","casualties",8
"895","certain",8
"896","chance",8
"897","check",8
"898","claims",8
"899","closest",8
"900","committed",8
"901","condemn",8
"902","consider",8
"903","cover",8
"904","d",8
"905","deaths",8
"906","defeat",8
"907","defensive",8
"908","drag",8
"909","draw",8
"910","drumbeat",8
"911","e",8
"912","edge",8
"913","effect",8
"914","effort",8
"915","equipment",8
"916","escalate",8
"917","europeans",8
"918","evidence",8
"919","exist",8
"920","fault",8
"921","feels",8
"922","finally",8
"923","fought",8
"924","fullscale",8
"925","gives",8
"926","guns",8
"927","guys",8
"928","half",8
"929","happy",8
"930","hey",8
"931","himself",8
"932","inevitable",8
"933","information",8
"934","inside",8
"935","interesting",8
"936","keeps",8
"937","knew",8
"938","majority",8
"939","mal",8
"940","meanwhile",8
"941","meet",8
"942","miss",8
"943","murder",8
"944","non",8
"945","obviously",8
"946","office",8
"947","operation",8
"948","outcome",8
"949","per",8
"950","police",8
"951","powerful",8
"952","prayingforukraine",8
"953","prevail",8
"954","prorussian",8
"955","provoke",8
"956","reach",8
"957","responsibility",8
"958","rights",8
"959","russianukrainianwar",8
"960","seem",8
"961","seit",8
"962","share",8
"963","sign",8
"964","simple",8
"965","society",8
"966","special",8
"967","speech",8
"968","stock",8
"969","strength",8
"970","suffering",8
"971","t",8
"972","table",8
"973","terrible",8
"974","territories",8
"975","tory",8
"976","total",8
"977","trenches",8
"978","ukrainerussianwar",8
"979","unless",8
"980","unlikely",8
"981","vote",8
"982","wanting",8
"983","weapon",8
"984","wenn",8
"985","wonder",8
"986","able",7
"987","absolute",7
"988","actual",7
"989","aint",7
"990","ambassador",7
"991","attacked",7
"992","backed",7
"993","basis",7
"994","beautiful",7
"995","bei",7
"996","believes",7
"997","besides",7
"998","black",7
"999","blaming",7
"1000","brussels",7
"1001","calls",7
"1002","car",7
"1003","catastrophic",7
"1004","changed",7
"1005","common",7
"1006","continent",7
"1007","court",7
"1008","coverage",7
"1009","crimean",7
"1010","crypto",7
"1011","cut",7
"1012","czechoslovakia",7
"1013","damn",7
"1014","dead",7
"1015","deadly",7
"1016","declares",7
"1017","deep",7
"1018","demand",7
"1019","democracies",7
"1020","deserve",7
"1021","destruction",7
"1022","deter",7
"1023","difference",7
"1024","doch",7
"1025","double",7
"1026","dragged",7
"1027","drumbeats",7
"1028","early",7
"1029","english",7
"1030","et",7
"1031","evacuate",7
"1032","evening",7
"1033","events",7
"1034","experience",7
"1035","experts",7
"1036","f",7
"1037","fair",7
"1038","fast",7
"1039","father",7
"1040","february",7
"1041","fellow",7
"1042","ffs",7
"1043","fire",7
"1044","food",7
"1045","forgotten",7
"1046","gop",7
"1047","govt",7
"1048","guerra",7
"1049","gun",7
"1050","hague",7
"1051","heavily",7
"1052","hot",7
"1053","hour",7
"1054","hybrid",7
"1055","impending",7
"1056","impose",7
"1057","increase",7
"1058","independence",7
"1059","indian",7
"1060","industrial",7
"1061","interested",7
"1062","interests",7
"1063","job",7
"1064","kann",7
"1065","launched",7
"1066","leading",7
"1067","lie",7
"1068","likes",7
"1069","list",7
"1070","listening",7
"1071","mark",7
"1072","material",7
"1073","mehr",7
"1074","mentioned",7
"1075","mexico",7
"1076","mistake",7
"1077","monger",7
"1078","mongers",7
"1079","na",7
"1080","negotiations",7
"1081","neutrality",7
"1082","numbers",7
"1083","offensive",7
"1084","opportunity",7
"1085","oppose",7
"1086","options",7
"1087","others",7
"1088","outside",7
"1089","palestine",7
"1090","pathetic",7
"1091","peaceful",7
"1092","phone",7
"1093","pointless",7
"1094","politicians",7
"1095","post",7
"1096","prayforukraine",7
"1097","prayforukraineandrussia",7
"1098","prevented",7
"1099","protesting",7
"1100","provoking",7
"1101","pulling",7
"1102","race",7
"1103","reported",7
"1104","republican",7
"1105","romania",7
"1106","running",7
"1107","russiavsukraine",7
"1108","russiavsukrainewar",7
"1109","sacrifice",7
"1110","sad",7
"1111","shooting",7
"1112","showing",7
"1113","sick",7
"1114","sind",7
"1115","solidarity",7
"1116","stability",7
"1117","stuff",7
"1118","teil",7
"1119","thank",7
"1120","thatcher",7
"1121","threatened",7
"1122","till",7
"1123","tough",7
"1124","travel",7
"1125","twitter",7
"1126","ukraina",7
"1127","ukrainekonflikt",7
"1128","um",7
"1129","understanding",7
"1130","unfortunately",7
"1131","unnecessary",7
"1132","upcoming",7
"1133","upon",7
"1134","weekend",7
"1135","wondering",7
"1136","wtf",7
"1137","x",7
"1138","yall",7
"1139","yeah",7
"1140","yemen",7
"1141","zum",7
"1142","accuses",6
"1143","add",6
"1144","address",6
"1145","african",6
"1146","aircraft",6
"1147","ally",6
"1148","analysts",6
"1149","anyway",6
"1150","anywhere",6
"1151","appeal",6
"1152","area",6
"1153","arming",6
"1154","asia",6
"1155","assistance",6
"1156","avoided",6
"1157","battle",6
"1158","becomes",6
"1159","berlin",6
"1160","blind",6
"1161","bomb",6
"1162","bringing",6
"1163","broke",6
"1164","brought",6
"1165","bullshit",6
"1166","cabinet",6
"1167","calm",6
"1168","caused",6
"1169","certainly",6
"1170","chancellor",6
"1171","chaos",6
"1172","charged",6
"1173","choose",6
"1174","church",6
"1175","co",6
"1176","coast",6
"1177","collapse",6
"1178","continued",6
"1179","conventional",6
"1180","criminals",6
"1181","cuba",6
"1182","culture",6
"1183","damals",6
"1184","defence",6
"1185","definitely",6
"1186","des",6
"1187","destroying",6
"1188","devastating",6
"1189","dey",6
"1190","dictatorship",6
"1191","divide",6
"1192","dpr",6
"1193","drawn",6
"1194","drive",6
"1195","efforts",6
"1196","ending",6
"1197","enjoy",6
"1198","enter",6
"1199","failed",6
"1200","failure",6
"1201","falklands",6
"1202","feb",6
"1203","fighter",6
"1204","figure",6
"1205","firing",6
"1206","following",6
"1207","forcing",6
"1208","forever",6
"1209","fun",6
"1210","funny",6
"1211","geschichte",6
"1212","guerre",6
"1213","hasnt",6
"1214","helps",6
"1215","heute",6
"1216","higher",6
"1217","horrific",6
"1218","humanitarian",6
"1219","hundreds",6
"1220","idiot",6
"1221","impact",6
"1222","indeed",6
"1223","influence",6
"1224","info",6
"1225","insane",6
"1226","investigation",6
"1227","involvement",6
"1228","kazakhstan",6
"1229","keeping",6
"1230","late",6
"1231","le",6
"1232","learned",6
"1233","leaving",6
"1234","led",6
"1235","les",6
"1236","libya",6
"1237","light",6
"1238","lines",6
"1239","link",6
"1240","listen",6
"1241","loved",6
"1242","low",6
"1243","lying",6
"1244","masks",6
"1245","meaning",6
"1246","midst",6
"1247","mission",6
"1248","month",6
"1249","movement",6
"1250","mutual",6
"1251","myself",6
"1252","naive",6
"1253","narrative",6
"1254","neutral",6
"1255","nonsense",6
"1256","nordstream",6
"1257","normal",6
"1258","nowarwithrussia",6
"1259","nuke",6
"1260","obama",6
"1261","occupying",6
"1262","oder",6
"1263","often",6
"1264","oligarchs",6
"1265","online",6
"1266","otherwise",6
"1267","paid",6
"1268","parents",6
"1269","physical",6
"1270","popular",6
"1271","population",6
"1272","possibly",6
"1273","pour",6
"1274","prelude",6
"1275","prepared",6
"1276","principles",6
"1277","project",6
"1278","protesters",6
"1279","proud",6
"1280","pull",6
"1281","questions",6
"1282","rational",6
"1283","reasonable",6
"1284","regarding",6
"1285","remain",6
"1286","repeatedly",6
"1287","resistance",6
"1288","resolve",6
"1289","rid",6
"1290","risking",6
"1291","sadly",6
"1292","sake",6
"1293","sea",6
"1294","sein",6
"1295","sends",6
"1296","separatists",6
"1297","shut",6
"1298","single",6
"1299","social",6
"1300","sort",6
"1301","speak",6
"1302","spread",6
"1303","stalin",6
"1304","standoff",6
"1305","stops",6
"1306","straight",6
"1307","strategic",6
"1308","streets",6
"1309","suddenly",6
"1310","supported",6
"1311","supports",6
"1312","talked",6
"1313","target",6
"1314","test",6
"1315","thus",6
"1316","trouble",6
"1317","trust",6
"1318","turned",6
"1319","ukrainerussiaconflict",6
"1320","ukrainethe",6
"1321","ukrania",6
"1322","unprovoked",6
"1323","ur",6
"1324","warned",6
"1325","wednesday",6
"1326","winners",6
"1327","worldwide",6
"1328","worst",6
"1329","wow",6
"1330","wurde",6
"1331","yesterday",6
"1332","yours",6
"1333","ウクライナ",6
"1334","à",5
"1335","ability",5
"1336","accept",5
"1337","accident",5
"1338","actors",5
"1339","advice",5
"1340","affected",5
"1341","africa",5
"1342","agreed",5
"1343","ahead",5
"1344","alert",5
"1345","alleged",5
"1346","amazing",5
"1347","among",5
"1348","amount",5
"1349","analysis",5
"1350","annex",5
"1351","announced",5
"1352","arm",5
"1353","aside",5
"1354","ass",5
"1355","attempting",5
"1356","attempts",5
"1357","audience",5
"1358","auspol",5
"1359","australia",5
"1360","authoritarian",5
"1361","aware",5
"1362","baltics",5
"1363","begin",5
"1364","billion",5
"1365","blue",5
"1366","born",5
"1367","breakaway",5
"1368","brutal",5
"1369","budget",5
"1370","busy",5
"1371","cake",5
"1372","canadian",5
"1373","capture",5
"1374","cat",5
"1375","caught",5
"1376","central",5
"1377","chess",5
"1378","cities",5
"1379","citizen",5
"1380","combat",5
"1381","committing",5
"1382","communist",5
"1383","considering",5
"1384","constant",5
"1385","conversation",5
"1386","convince",5
"1387","costly",5
"1388","counter",5
"1389","coup",5
"1390","created",5
"1391","danger",5
"1392","dann",5
"1393","dc",5
"1394","declaring",5
"1395","deescalation",5
"1396","defending",5
"1397","democrat",5
"1398","department",5
"1399","deploying",5
"1400","despite",5
"1401","died",5
"1402","directly",5
"1403","disgusting",5
"1404","disinformation",5
"1405","domestic",5
"1406","donated",5
"1407","dr",5
"1408","drama",5
"1409","dream",5
"1410","duty",5
"1411","earlier",5
"1412","einen",5
"1413","election",5
"1414","emmanuel",5
"1415","encouraging",5
"1416","ethnic",5
"1417","everywhere",5
"1418","ex",5
"1419","excellent",5
"1420","excuse",5
"1421","expand",5
"1422","expansion",5
"1423","expect",5
"1424","facing",5
"1425","fail",5
"1426","final",5
"1427","five",5
"1428","flying",5
"1429","foot",5
"1430","freeukraine",5
"1431","frontline",5
"1432","funding",5
"1433","gain",5
"1434","general",5
"1435","geopolitical",5
"1436","grab",5
"1437","gt",5
"1438","guilty",5
"1439","haben",5
"1440","harm",5
"1441","hawkish",5
"1442","helped",5
"1443","hi",5
"1444","hide",5
"1445","hitlers",5
"1446","honestly",5
"1447","hopefully",5
"1448","humans",5
"1449","icc",5
"1450","ie",5
"1451","ihr",5
"1452","immer",5
"1453","imperialist",5
"1454","incident",5
"1455","incursion",5
"1456","intel",5
"1457","involving",5
"1458","itll",5
"1459","japan",5
"1460","jets",5
"1461","johnsons",5
"1462","joined",5
"1463","journalists",5
"1464","kept",5
"1465","kharkiv",5
"1466","kharkov",5
"1467","kick",5
"1468","knowledge",5
"1469","kyjiw",5
"1470","labour",5
"1471","largest",5
"1472","launch",5
"1473","lavrov",5
"1474","lay",5
"1475","leaves",5
"1476","lesson",5
"1477","locked",5
"1478","london",5
"1479","longer",5
"1480","looked",5
"1481","los",5
"1482","loss",5
"1483","lots",5
"1484","luck",5
"1485","maintain",5
"1486","map",5
"1487","match",5
"1488","met",5
"1489","militarily",5
"1490","minds",5
"1491","mir",5
"1492","modern",5
"1493","msm",5
"1494","munich",5
"1495","natos",5
"1496","nearly",5
"1497","nie",5
"1498","nigerians",5
"1499","noch",5
"1500","o",5
"1501","oblast",5
"1502","obvious",5
"1503","officials",5
"1504","operations",5
"1505","ours",5
"1506","pain",5
"1507","pakistan",5
"1508","parties",5
"1509","partner",5
"1510","parts",5
"1511","pass",5
"1512","planet",5
"1513","podcast",5
"1514","polish",5
"1515","politics",5
"1516","presence",5
"1517","present",5
"1518","prime",5
"1519","prophecy",5
"1520","prospect",5
"1521","providing",5
"1522","provocation",5
"1523","purpose",5
"1524","putinswar",5
"1525","puts",5
"1526","quickly",5
"1527","quit",5
"1528","quoting",5
"1529","racism",5
"1530","racist",5
"1531","raised",5
"1532","raises",5
"1533","ratings",5
"1534","reaction",5
"1535","reading",5
"1536","recently",5
"1537","reckless",5
"1538","regardless",5
"1539","relations",5
"1540","reminder",5
"1541","resolution",5
"1542","respond",5
"1543","restrictions",5
"1544","retaliation",5
"1545","return",5
"1546","rich",5
"1547","rt",5
"1548","russiaukraineconflict",5
"1549","saw",5
"1550","scared",5
"1551","scary",5
"1552","schon",5
"1553","secretary",5
"1554","seek",5
"1555","shall",5
"1556","shed",5
"1557","shelling",5
"1558","signed",5
"1559","similar",5
"1560","sisters",5
"1561","somehow",5
"1562","sounding",5
"1563","speaks",5
"1564","spreading",5
"1565","stage",5
"1566","stocks",5
"1567","stood",5
"1568","stories",5
"1569","strategy",5
"1570","streaming",5
"1571","strikes",5
"1572","succeed",5
"1573","sudden",5
"1574","suffers",5
"1575","surely",5
"1576","surrender",5
"1577","syrian",5
"1578","systems",5
"1579","targeting",5
"1580","team",5
"1581","terms",5
"1582","territorial",5
"1583","tho",5
"1584","thousand",5
"1585","thursday",5
"1586","timing",5
"1587","trade",5
"1588","train",5
"1589","training",5
"1590","troop",5
"1591","tuesday",5
"1592","ucrania",5
"1593","ukrainerussie",5
"1594","ukriane",5
"1595","unite",5
"1596","uno",5
"1597","usual",5
"1598","vietnam",5
"1599","violence",5
"1600","visit",5
"1601","voice",5
"1602","voted",5
"1603","voters",5
"1604","wage",5
"1605","wallace",5
"1606","warmongering",5
"1607","wed",5
